name,formatted_address,website,rating,lat,lng
Autos Suzuka,"José Vazconcelos 127, Amp. Gabriel Hernández, Gustavo A. Madero, 03510 Ciudad de México, CDMX, Mexico",,4,19.5064925,-99.1065287
Surman México Eje Central,"Eje Central Lázaro Cárdenas 227, Doctores, Azcapotzalco, 06720 Ciudad de México, CDMX, Mexico",http://www.surman.com/,3,19.4485939,-99.1386419
Chevrolet Angar Azcapotzalco,"Av. de las Granjas 473, El Jaguey, Azcapotzalco, 02530 Ciudad de México, CDMX, Mexico",http://www.chevroletangar.com.mx/,3.8,19.4826126,-99.17408750000000
Volkswagen Aldyxa S.A. de C.V.,"Av. de las Granjas, Jardín Azpeitia, Azcapotzalco, 02530 Ciudad de México, CDMX, Mexico",http://www.vw-aldyxa.com.mx/,4.1,19.48164180000000,-99.17407690000000
Dalton Seminuevos,"Santo Tomas, 02020 Mexico City, CDMX, Mexico",http://daltonseminuevos.com.mx/,3.5,19.4830239,-99.17472100000000
Suzuki Vallejo,"Av. de las Granjas 420, Santo Tomas, Azcapotzalco, 02020 Ciudad de México, CDMX, Mexico",http://www.suzukivallejo.com.mx/,4.1,19.4825888,-99.174723
Servicio Profesionales al Transporte,"Av. Cuitláhuac 340, San Bernabe, Azcapotzalco, 02830 Ciudad de México, CDMX, Mexico",http://www.autooutlet.com.mx/,,19.4691486,-99.1721743
NISSAN GEISHA CUITLAHUAC,"Av. Cuitláhuac 3395, San Bernabe, Azcapotzalco, 02830 Ciudad de México, CDMX, Mexico",https://www.nissan.com.mx/distribuidores/#estado=9&ciudad=267,4.3,19.4686111,-99.1738889
Nissan Vallejo,"Calz. Vallejo 1040. Col, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX, Mexico",https://www.nissanvallejo.com.mx/,4.1,19.4973904,-99.1553015
AUTOS DE CALIDAD CUITLAHUAC S.A. de C.V.,"Av. Cuitláhuac #1238, Aguilera, Azcapotzalco, 02900 Ciudad de México, CDMX, Mexico",http://www.autosdecalidad.com/Inicio.html,3.7,19.4730849,-99.1539619
Servicios Corporativos Otrebla,"Calz. Vallejo 921, Nueva Vallejo II Secc, Gustavo A. Madero, 07750 • Cdad. de México, México D.F., México, Capital Federal, méxico df (0x54061076265ee841), CDMX, Mexico",,,19.5165621,-99.162113
Volkswagen Divol Lindavista,"Av. Insurgentes Nte. 1090, Tlacamaca, Gustavo A. Madero, 07380 Ciudad de México, CDMX, Mexico",https://www.vw-divol-lindavista.com.mx/,4.1,19.4756242,-99.1346319
Nissan Kioto,"Av Instituto Politécnico Nacional No.1999, Lindavista Nte., Gustavo A. Madero, 07300 Ciudad de México, CDMX, Mexico",http://www.nissankioto.com.mx/,4.3,19.498917,-99.1316157
"Cintas y Adhesivos, S.A. de C.V.","Esperanza 55, Gustavo A. Madero, 07800 Gustavo A. Madero, CDMX, Mexico",,,19.4756459,-99.1242468
Automundo Vallejo,"Calzada Vallejo No.1059, Esq. Poniente 146, Nueva Industrial Vallejo, Gustavo A. Madero, 07750 Ciudad de México, CDMX, Mexico",http://automundo.com.mx/,3.9,19.4986629,-99.1551688
